placement_id,job_title,job_post_date,fill_date,days_to_fill,placement_fee,client_id,recruiter_id,candidate_country,client_country,daily_rate,is_fast_fill,fee_category,client_name,industry,recruiter_name,seniority
1,Senior IT Support,2023-05-23,2023-06-19,27,6707.75,87,24,Kenya,Australia,248.44,True,High,ClearPath Hiring 87,Manufacturing,Raj Ali,Senior
2,HR Manager,2023-08-27,2023-09-20,24,3158.91,4,18,Pakistan,United States,131.62,True,Medium,GlobalStaff Partners 4,Technology,Carlos Brown,Senior
3,HR Manager,2023-01-07,2023-02-12,36,4102.2,21,23,Kenya,Canada,113.95,False,Medium,TalentBridge Solutions 21,Manufacturing,Zara Smith,Senior
4,Junior Developer,2023-04-15,2023-05-11,26,1645.94,13,12,India,UAE,63.31,True,Low,SwiftTalent Agency 13,Technology,Emma Khan,Senior
5,Senior IT Support,2024-01-23,2024-02-22,30,6648.66,38,27,Kenya,Australia,221.62,False,High,SwiftTalent Agency 38,Finance,Zara Ahmed,Junior
6,Data Analyst,2023-02-16,2023-03-29,41,2732.06,99,10,Nigeria,United Kingdom,66.64,False,Medium,RapidHire Partners 99,Finance,Omar Davis,Senior
7,Senior IT Support,2024-01-09,2024-02-09,31,4900.63,46,7,Nigeria,UAE,158.08,False,Medium,RapidHire Partners 46,Retail,Sarah Johnson,Junior
8,Senior IT Support,2023-09-08,2023-10-14,36,6045.66,49,9,Kenya,Australia,167.94,False,High,RapidHire Partners 49,Technology,Aisha Johnson,Mid
9,Data Analyst,2023-08-23,2023-09-24,32,3528.56,41,13,India,UAE,110.27,False,Medium,PeakHire Group 41,Retail,Priya Ahmed,Mid
10,Data Analyst,2024-04-14,2024-05-02,18,1637.88,18,8,Pakistan,Australia,90.99,True,Low,BrightForce Group 18,Manufacturing,Chen Smith,Mid
11,HR Manager,2023-08-13,2023-09-10,28,7489.11,18,17,Philippines,Canada,267.47,True,High,BrightForce Group 18,Manufacturing,Zara Jones,Junior
12,Senior IT Support,2024-03-08,2024-03-23,15,3764.21,50,13,Pakistan,Australia,250.95,True,Medium,GlobalStaff Partners 50,Finance,Priya Ahmed,Mid
13,Data Analyst,2023-01-12,2023-02-13,32,3913.24,15,22,Philippines,Australia,122.29,False,Medium,NexGen Recruitment 15,Retail,Sarah Taylor,Mid
14,Data Analyst,2024-04-09,2024-05-11,32,1334.66,93,29,Nigeria,UAE,41.71,False,Low,BlueStar Recruitment 93,Technology,Sarah Patel,Junior
15,Junior Developer,2023-11-02,2023-12-08,36,2523.05,65,20,Philippines,United States,70.08,False,Medium,ProLink HR 65,Technology,Chen Hassan,Mid
16,Junior Developer,2024-06-27,2024-07-17,20,2618.14,77,11,Pakistan,Canada,130.91,True,Medium,PeakHire Group 77,Finance,Ahmed Smith,Mid
17,Data Analyst,2023-11-11,2023-11-27,16,3636.17,31,29,Pakistan,Australia,227.26,True,Medium,BlueStar Recruitment 31,Manufacturing,Sarah Patel,Junior
18,HR Manager,2024-06-29,2024-07-15,16,3448.07,17,22,Pakistan,Canada,215.5,True,Medium,TrueNorth Staffing 17,Retail,Sarah Taylor,Mid
19,Data Analyst,2023-08-05,2023-08-31,26,2583.02,97,24,Philippines,United States,99.35,True,Medium,ClearPath Hiring 97,Retail,Raj Ali,Senior
20,HR Manager,2024-03-24,2024-04-23,30,7975.75,58,4,Kenya,United States,265.86,False,High,ClearPath Hiring 58,Finance,David Davis,Junior
21,Data Analyst,2023-08-14,2023-09-06,23,1063.1,91,21,India,United Kingdom,46.22,True,Low,BrightForce Group 91,Retail,Priya Taylor,Mid
